ï»¿ID,Resposta_Felicidade,Cluster_Exploratorio,Escore_Geral,Escore_P,Escore_E,Escore_R,Escore_M,Escore_A,Idade,Genero,Escolaridade
1,"Para que seja feliz, no momento desejaria ser avó, pois o que tenho em minha vida me deixa satisfeita, alegre e realizada. Agradeço a Deus por tudo que ele me deu na vida",Desenvolvimento,3.333.333.333,3.333.333.333,3,3.666.666.667,3.333.333.333,3.666.666.667,66,1,6
2,"Um estado de espirito, inconstante e dificil de se alcançar ",Desenvolvimento,2.138.888.889,1.666.666.667,3.5,1.333.333.333,2.333.333.333,2,48,1,8
3,"Estar vivo, com saúde, realizar sonhos, ter objetivos, estar com a família, amigos, trabalhar com o que goste",Florescimento,4,3.666.666.667,5,4,4,3.333.333.333,46,1,6
4,Felicidade é amar e ser amado sem esperar nada de bem material. Felicidade é ter alguém e nunca ser abandonado. Ser mãe ,Florescimento,3.944.444.444,3,5,3,5,4.666.666.667,39,1,8
5,estado ou sensações de bem-estar diretamente relacionado ao equilíbrio das emoções ,Florescimento,4.333.333.333,3.666.666.667,4,5,4.666.666.667,4.666.666.667,27,2,5
6,"A Felicidade não é objeto da busca incessante da grande maioria das pessoas. Felicidade é as pequenas coisas, momentos, realizações, é uma vivência das leis do amor, da fé e do universo. Felicidade é se quem somos verdadeiramente sem as expectativas alheias e buscando ser melhor todos os dias",Florescimento,4.75,4.666.666.667,4.5,5,5,4.333.333.333,35,1,4
7,"Estar bem consigo, sorrir e viver com os pensamentos positivos, fazer o bem sem olhar a quem e quando vier a maldade se alimentar do amor de Deus para não ser atingido, quando vier os problemas para enfrentar, refletir e sorrir á toa",Florescimento,4.222.222.222,5,4,4.333.333.333,4,4,43,1,8
8,"São momentos de paz, tranquilidade, uma vida simples com pessoas que amo. Meu trabalho também é felicidade pois foço que gosto",Desenvolvimento,3.555.555.556,3.666.666.667,4,3.333.333.333,3.666.666.667,3.666.666.667,45,1,8
9,"É esta pleno com você mesma, viver em harmonia",Desenvolvimento,3.527.777.778,3,3.5,4.333.333.333,4,3.333.333.333,41,1,6
10,"é ter o privilégio de acordar com saude física e mental, com ainda todos os órgãos funcionando, estar em conformidade da vontade de Deus para nossa vida. E rodeada do amor das pessoas que nos aceitam como somos",Florescimento,4.333.333.333,4,4,4.666.666.667,5,4.333.333.333,51,1,6
11,"Ser grata, reconhecer o quanto sou abençoada. Reconhecer os pequenos milagres diários a beleza e o prazer em coisas simples, buscar estar realmente presente. Tudo isso eleva a minha vibração  e me faz feliz",Florescimento,4.388.888.889,4,5,4.666.666.667,4.333.333.333,4.333.333.333,46,1,6
12,"É você se sentir completo da maneira que é, superar as dificuldades e aprender com elas",Desenvolvimento,3.777.777.778,3.333.333.333,4,3.666.666.667,4,3.666.666.667,30,2,8
13,"Estado de bem-estar, animo, alegria, realizacao, saúde ",Florescimento,4.722.222.222,5,5,5,4.666.666.667,4.666.666.667,45,1,8
14,Pode vivenciar momentos agradáveis com a familia,Florescimento,4.611.111.111,4.333.333.333,5,5,4,4.333.333.333,34,1,8
15,Quando sua alma está plena com seu corpo,Desenvolvimento,3.055.555.556,3,3,3,2.666.666.667,2.666.666.667,53,1,4
16,"é acordar pela manhã com a sensação de tranquilidade, sabendo que fez o que tem que se feito, sendo reconhecida por seus feitos, fazer o bem, sem ver a quem, traz felicidade ",Desenvolvimento,3.416.666.667,2.666.666.667,4.5,2.333.333.333,3.666.666.667,4.333.333.333,52,1,8
17,"É a busca de algo que você não terá jamais em plenitude, mas é possÃ­vel aproveitar cada momento de felicidade, sabendo que um dia ela vai embora e um dia voltará",Desenvolvimento,3.777.777.778,3.333.333.333,4,4.333.333.333,3.333.333.333,3.666.666.667,54,2,6
18,"Perceber as pequenas grandes coisas que acontecem no dia a dia, ser grata por todos, tentar ver o lado positivo mesmo nos momentos difíceis. Ser grata pela vida",Desenvolvimento,3.861.111.111,3.666.666.667,4.5,3,4,4,57,1,8
19,"é um estado de espírito, uma conexão entre a alma e corpo e universo, é claro que felicidade não é todo dia, mas uma busca constante ",Desenvolvimento,3.694.444.444,3.666.666.667,3.5,3.666.666.667,4,3.333.333.333,54,2,7
20,"Poder desfrutar de sentimentos que nós gostamos, junto de pessoas do nosso agrado",Florescimento,4,4,4,4,4,4,33,2,8
21,Estar equilibrado emocionalmente,Desenvolvimento,2.972.222.222,2.333.333.333,4.5,3,2.333.333.333,3.666.666.667,39,1,5
22,"Felicidade pra mim é família bem, unida todos com saúde. Conseguir os sonhos",Desenvolvimento,2.277.777.778,2,2,1,3.333.333.333,2.333.333.333,28,1,4
23,"Estar em paz, com saúde e minha família estar bem",Florescimento,4.444.444.444,4,5,4.333.333.333,4,4.333.333.333,46,1,5
24,"Tomar café da manhã com minha mãe é felicidade para mim, mostrar ao meu filho o por do sol é felicidade para mim",Desenvolvimento,3.388.888.889,3.666.666.667,3,3,2.666.666.667,4,48,1,3
25,no momento não sei dizer,Desenvolvimento,2.555.555.556,2.666.666.667,2,2.666.666.667,2.666.666.667,2.333.333.333,49,1,4
27,Poder ajudar e estar bem com a vida,Florescimento,4,4.333.333.333,4,4,4,3.666.666.667,71,2,6
28,"Felicidade para mim, é quando estou praticando minhas atividades em atenção plena. E consequentemente tenho um bem estar, físico, emocional e mental",Florescimento,4.722.222.222,4.333.333.333,5,5,4.666.666.667,4.333.333.333,53,1,8
29,"Felicidade para mim é saber conviver com outras pessoas. Respeitar os direitos dos outros, ajudar da forma que você pode, saber lidar com as coisas",Desenvolvimento,3.333.333.333,2.666.666.667,4,2.666.666.667,2.666.666.667,4,60,2,2
30,"Estar emocionalmente equilibrada, paz interior e extravasar, transbordar a alegria",Desenvolvimento,3.916.666.667,4,4.5,3.666.666.667,3.666.666.667,3.666.666.667,44,1,8
32,Fazer o que eu gosto ao lado das pessoas que amo( que elas também gostem),Florescimento,5,5,5,5,5,5,48,1,8
33,"Estar com boa saúde em harmonia corpo e alma, de bem-estar comigo, com a família, com os amigos e com os desconhecidos, e assim melhor poder aproveitar os momentos de lazer, encontros, viagens e tudo mais",Florescimento,4.222.222.222,4.333.333.333,4,4.666.666.667,4,4.333.333.333,72,2,8
34,"Felicidade para mim é ser consciente de que a vida é construída a partir de momentos bons, mas também circunstâncias difíceis. É saber reagir diante das dificuldades sem se tornar amargurado ou ingrato. Todos os dias temos motivos para agradecer pela dádiva da vida, que é difícil e também muito boa",Florescimento,4.333.333.333,4.333.333.333,4,4.666.666.667,4.333.333.333,3.666.666.667,32,1,8
35,É estado de espírito. Acredito que está em paz traga a felicidade ,Desenvolvimento,3.611.111.111,3.666.666.667,5,2,4.333.333.333,3.666.666.667,47,1,7
36,É sentir prazer nas pequenas coisas da vida,Florescimento,4.027.777.778,4,4.5,4,3.666.666.667,4,66,1,6
37,"A felicidade é um estado interior em equilíbrio e harmonia, refletindo exteriormente este alinhamento interno ao qual tenho me dedicado a estabelecer e integrar com meu ser, através de um autoconhecimento identificando os atributos que colaboram para estabelecer o bem-estar em minha vida",Desenvolvimento,3.611.111.111,3.666.666.667,3,3.666.666.667,3,4.333.333.333,41,2,6
39,"Felicidade é como um raio de sol que aquece a alma, uma brisa suave que acaricia o rosto. Instante que o coração sorrir, sem motivo aparente, mas com leveza que faz tudo parecer possível. É aroma de café fresco, abraço da filha. É o momento em que percebemos que, apesar de tudo, está tudo bem",Florescimento,4.611.111.111,4.333.333.333,5,5,4.333.333.333,5,32,2,8
40,"Ter saúde, paz, dinheiro para viver e ajudar minha família e algumas pessoas ue precisam",Florescimento,4.111.111.111,4.333.333.333,4,4,4.333.333.333,4,56,1,8
41,"Sensação de bem-estar, de ânimo ",Florescimento,4.25,4.333.333.333,4.5,4.333.333.333,4,4.333.333.333,43,1,8
42,"É a junção de alcançar os próprios objetos e poder acordar e dormir tranquilamente após ter um dia estressante e cheio, poder ter o que compartilhar com os familiares, sua alegria e sua existência em vida",Florescimento,4.138.888.889,4,4.5,3,4.333.333.333,5,27,3,5
44,"E se sentir bem físico e mental, independente das intercorrencias que passamos diariamente. Buscando o sentido positivo dos acontecimentos e construir a trajetória chamada de vida",Florescimento,4.444.444.444,4,5,4.333.333.333,5,4.333.333.333,32,1,6
45,"Pra mim felicidade está relacionado com o propósito de vida, principalmente de escolher caminhos que nos leve em direção a felicidade com nós mesmos",Florescimento,4.25,4.333.333.333,4.5,3.333.333.333,4.333.333.333,4,37,1,6
46,"Estar bem, ter saúde, compartilhar momentos felizes( o mais bobo possível). Poder conhecer lugares e pessoas interessantes, comer coisas gostosas...",Florescimento,4.111.111.111,4,5,4.333.333.333,4,4.333.333.333,40,1,8
47,"A felicidade é está em paz, e um sentimento de bem-estar com pessoas ao seu redor",Florescimento,4.055.555.556,4.333.333.333,4,3.666.666.667,4,4.333.333.333,56,1,4
48,"É sentir algum tipo de prazer no que você se propõe em fazer pra si, as vezes aos outros, mais não se esquecendo de você mesmo ",Desenvolvimento,2.305.555.556,2.333.333.333,2.5,2.333.333.333,2.333.333.333,2.333.333.333,38,1,5
49,"Estar pleno do seu viver e existir. Gostar do que é, do que tenho e de onde estou. Presente no tempo, no espaço e se sentindo confortável em mim",Florescimento,4.722.222.222,4.333.333.333,5,4.333.333.333,4.666.666.667,5,56,1,6
